facility_id,dynamic,bucket,method,PICP,MPIW,n_cell,n_own,n_init,fell_back,gamma,degenerate
14,True,night,ACI,0.9473684210526315,25.01157060749517,285,177,177,False,0.02,False
14,True,am_rush,ACI,0.9739583333333334,19.459665814894986,192,96,96,False,0.02,False
14,True,midday,ACI,0.788,21.11935301731602,250,202,202,False,0.02,False
14,True,pm_rush,ACI,0.9298245614035088,30.271410551490963,171,144,144,False,0.02,False
14,True,evening,ACI,0.8461538461538461,26.395503597225826,117,141,141,False,0.02,False
14,True,night,ToD-ACI,0.9228070175438596,23.994430093330973,285,177,177,False,0.02,False
14,True,am_rush,ToD-ACI,0.9010416666666666,15.61572733410493,192,96,96,False,0.02,False
14,True,midday,ToD-ACI,0.9,32.854594386243384,250,202,202,False,0.02,False
14,True,pm_rush,ToD-ACI,0.9005847953216374,29.084159950240355,171,144,144,False,0.02,False
14,True,evening,ToD-ACI,0.9145299145299145,28.538702986314107,117,141,141,False,0.02,False
15,True,night,split-CP,0.9859649122807017,11.336150793650788,285,177,177,False,0.002,False
15,True,am_rush,split-CP,0.9583333333333334,11.336150793650788,192,96,96,False,0.002,False
15,True,midday,split-CP,0.672,9.87074657549857,250,202,202,False,0.002,False
15,True,pm_rush,split-CP,0.8654970760233918,11.334595307713721,171,144,144,False,0.002,False
15,True,evening,split-CP,0.9743589743589743,11.33615079365079,117,141,141,False,0.002,False
15,True,night,Mondrian-split-CP,0.8421052631578947,3.6161111111111097,285,177,177,False,0.002,False
15,True,am_rush,Mondrian-split-CP,0.84375,7.965710317460321,192,96,96,False,0.002,False
15,True,midday,Mondrian-split-CP,0.796,14.651585869149372,250,202,202,False,0.002,False
15,True,pm_rush,Mondrian-split-CP,0.8654970760233918,11.219203541260553,171,144,144,False,0.002,False
15,True,evening,Mondrian-split-CP,0.905982905982906,6.075769841269849,117,141,141,False,0.002,False
15,True,night,ACI,0.9964912280701754,10.985079123735265,285,177,177,False,0.002,False
15,True,am_rush,ACI,0.921875,10.223278782560032,192,96,96,False,0.002,False
15,True,midday,ACI,0.672,9.353484342546341,250,202,202,False,0.002,False
15,True,pm_rush,ACI,0.9181286549707602,11.962340513260836,171,144,144,False,0.002,False
15,True,evening,ACI,0.9658119658119658,11.218315131370687,117,141,141,False,0.002,False
15,True,night,ToD-ACI,0.8982456140350877,6.984403702437915,285,177,177,False,0.002,False
15,True,am_rush,ToD-ACI,0.9010416666666666,10.395956183862436,192,96,96,False,0.002,False
15,True,midday,ToD-ACI,0.868,17.323596237188735,250,202,202,False,0.002,False
15,True,pm_rush,ToD-ACI,0.8538011695906432,11.072641209505242,171,144,144,False,0.002,False
15,True,evening,ToD-ACI,0.8974358974358975,6.489642167503282,117,141,141,False,0.002,False
16,True,night,split-CP,0.9929824561403509,7.009287037037041,285,177,177,False,0.02,False
16,True,am_rush,split-CP,0.9427083333333334,7.0015060281635835,192,96,96,False,0.02,False
16,True,midday,split-CP,0.824,5.16440717989418,250,202,202,False,0.02,False
16,True,pm_rush,split-CP,0.7660818713450293,6.34750646537781,171,144,144,False,0.02,False
16,True,evening,split-CP,0.8632478632478633,6.843580356885911,117,141,141,False,0.02,False
16,True,night,Mondrian-split-CP,0.9543859649122807,4.146846320346326,285,177,177,False,0.02,False
16,True,am_rush,Mondrian-split-CP,0.96875,8.558164186507938,192,96,96,False,0.02,False
16,True,midday,Mondrian-split-CP,0.748,3.8706980158730158,250,202,202,False,0.02,False
16,True,pm_rush,Mondrian-split-CP,0.9532163742690059,8.831447488671174,171,144,144,False,0.02,False
16,True,evening,Mondrian-split-CP,0.9145299145299145,7.889740590685034,117,141,141,False,0.02,False
16,True,night,ACI,1.0,6.304888458941968,285,177,177,False,0.02,False
